URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001615160;[Exposition internationale des Arts et techniques de 1937. Lampadaire au symbole stylisé de la Ville de Paris. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Exposition internationale. 1937. Paris ¤ Paris (France) -- Tour Eiffel ¤ Paris (France) -- Arrondissement (07e) ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-01718
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001615322;[Exposition internationale des Arts et techniques de 1937. Palais des tissus, des Gobelins et de l'UCAF. Tapisserie par François-Louis Schmied, cartonnier. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Schmied, François-Louis (1873-1941) ¤ Exposition internationale. 1937. Paris ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-01760
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614144;Julien Green : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1929];1929;Julien Green est ici photographié dans son appartement, 16, rue Cortambert, 16e arr.;Green, Julien (1900-1998) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-07499
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614135;Jacques Gréber : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1926];1926;Jacques Gréber est ici photographié dans son appartement, 8, rue Sfax, 16e arr.;Gréber, Jacques (1882-1962) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-01470
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001613151;[Le comte Henry de Dampierre] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Mai 1930];1930;;Dampierre, Henry (comte de) (1875-1954) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-09973
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001615044;[Exposition internationale des Arts et Techniques de 1937. Pavillon de la Céramique. Salle de bain des établissements Jacob Delafon. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Delafon, Jacob ¤ Exposition internationale. 1937. Paris ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP,
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614361;[Salons de la maison de couture Redfern. 242, rue de Rivoli, 1er arr.] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1929];1929;;Redfern (Firme) -- France -- Paris (France) -- 1900-1945 ¤ Haute couture -- France -- Paris (France) ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP,
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624534;[Affiches. Rodier Kashas, 1926 par Géo Dorival] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1926];1926;;Dorival, Geo (1879-1968) ¤ Affiches -- France -- 20e siècle ¤ Art publicitaire -- France -- 20e siècle ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-04079
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614751;[Exposition internationale des Arts et techniques de 1937. Centre rural des métiers. Centre de dégustation. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Exposition internationale. 1937. Paris ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-01653
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001616218;[Exposition internationale des Arts et techniques de 1937. Pavillon de l'Enseignement. Panneau Raymond Gid. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Exposition internationale. 1937. Paris ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-02050
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001615174;[Exposition internationale des Arts et techniques de 1937. Pavillon de la marine marchande. Terre-neuvier. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Exposition internationale. 1937. Paris ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-01722
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001679747;[François Cogné] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1924];1924;François Cogné est ici photographié dans son atelier, 131, boulevard Haussmann, 8e arr.;Cogné, François (1870-1952) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-00162
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001613921;[Jean Fouquet] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1925];1925;;Fouquet, Jean (1899-1984) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-03667
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614614;Marie Jérôme : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Ca novembre 1930];1930;;Jérôme, Marie ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-12178
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001702229;[Georges Dufrénoy] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1929;1929;;Dufrénoy, Georges (1870-1943) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-09124
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624352;[Mode : dessin de femme. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1920 et 1940];1920;;Dessin ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-01928
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001617515;Jean Patou : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1924];1924;;Patou, Jean (1880-1936) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-00337
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001681034;[Vincente Santaolaria] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1927];1927;;Santaolaria, Vincente (1886-1952) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-01842
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001616300;[Mistinguett] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Ca 1928];1928;;Mistinguett (1875-1956) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-03975-bis
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001613919;[Jean Fouquet] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1925];1925;;Fouquet, Jean (1899-1984) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-03666
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001617537;Victor Pauchet : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1927];1927;;Pauchet, Victor (1869-1936) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-02719
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001680706;[Annie Besant] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1926];1926;;Besant, Annie (1847-1933) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-01321
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001616010;Georges Malissard : [photographie];images;Bonney , Thérèse (1894 -1978 );;1927;1927;"Georges Malissard est ici photographié dans son atelier, 44, rue du Bois de Boulogne, Neuilly ¤ Date attribuée d'après le transparent au recto du tirage : ""Bonney Paris 1927""";Malissard, Georges (1877-1942) ¤ Sculpture animalière -- 1900-1939 ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-01915
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001616229;"[Exposition internationale des Arts et techniques de 1937. Pavillon de l'Espagne. ""[An]dalousie"". Aperçu des différentes régions géographiques par des photos et des échantillons de l'artisanat. ] : [photographie]";images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Exposition internationale. 1937. Paris ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-02058
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001617093;[Exposition internationale des Arts et techniques de 1937. Pavillon du Canada par l'architecte Emile Brunet. Façade principale. Fresque sur l'agriculture en plomb coloré. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Brunet, Émile (1863-1945) ¤ Exposition internationale. 1937. Paris ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-02272
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001616643;[Annie Mouroux] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1923];1923;"Annie Mouroux est ici photographiée à côté de la maquette de sa médaille en l'honneur de ""John Pershing. American expeditionary Forces 1917-1919""";Mouroux, Annie ¤ Pershing, John ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-00023-bis
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001624304;Jean Donaldson, Madame Paul Dubonnet : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1929];1929;Jean Dubonnet est ici photographiée dans l'atelier de Kees Van Dongen, 5, rue Juliette-Lambert, 17e;Van Dongen, Kees (1877-1968) -- Résidences et lieux familiers ¤ Dubonnet, Jean ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-08609
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001681031;[Aurore Lauth-Sand] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1927];1927;Aurore Lauth-Sand et Vincente Santaolaria sont ici photographiés avec un buste de George Sand;Sand, Aurore (1866-1961) ¤ Sand, George (1804-1876) ¤ Santaolaria, Vincente (1886-1952) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-01843
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001616050;[Exposition internationale des Arts et techniques de 1937. Pavillon de l'Italie. Péniche restaurant sur la Seine. Sculpture de Lucio Fontana. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Fontana, Lucio (1899-1968) ¤ Exposition internationale. 1937. Paris ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-02122
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001613424;[Maison de couture. Anna. Champs-Elysées. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1929];1929;;Anna (Firme) -- France -- Paris (France) -- 1900-1945 ¤ Haute couture -- France -- Paris (France) -- 1900-1945 ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-07690
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614405;Alexandre Iacovleff : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1931];1931;Alexandre Iacovleff est ici photographié dans son appartement, 11, avenue Junot, 18e arr.;Âkovlev, Aleksandr Evgenʹevič (1887-1938) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-12242
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614402;Alexandre Iacovleff : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1931];1931;Alexandre Iacovleff est ici photographié dans son appartement, 11, avenue Junot, 18e arr.;Âkovlev, Aleksandr Evgenʹevič (1887-1938) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-12241
